Paper,DOI,Publication Year,Corresponding Author,Email,Physical Address,Analyte Polymer,Critical Component,Architecture,Critical Condition Basis,Column Name,Stationary Phase Chemistry,Column Mode,Pore Size,Column Dimensions,Mobile Phase Solvents,Mobile Phase Ratio,Mobile Phase Ratio Units,Aqueous pH,Aqueous Salt Added,Aqueous Salt Type,Aqueous Salt Concentration,Temperature (°C),Flow Rate,Detector,Consensus Confidence,Qwen Confidence,Mistral Confidence,Evidence: Critical Condition,Evidence: Critical Component,Evidence: Column Name,Evidence: Mobile Phase Solvents,Evidence: Mobile Phase Ratio,Evidence: Temperature,Evidence: Pore Size,Evidence: Flow Rate,Notes
[107] Krüger1996.pdf,10.1080/10236669608233912,1996,R. P. Krüger; H. Much; G. Schulz,,"Institut far Angewandte Chemie, Berlin-Adlershof (ACA) e. V., Abteilung Zentrale Analytik, Forschungsgruppe Polymercharakterisierung, Rudower Chaussee 5, D-12484 Berlin, Germany",polyester,polyester backbone,linear,independent of molar mass,Si-120 silica column,silica,Normal Phase,,7- [im,"acetone, hexane",50.5 vol%:49.5 vol%,vol%,,False,,,30,,refractive index detector,explicit,explicit,explicit,the retention volume is independent of molar mass,polyester,7- [im Si-120 silica column,acetone/hexane,50.5 vol%:49.5 vol%,30°C,,,Used for the first dimension of 2D-HPLC for polyesters.
[107] Krüger1996.pdf,10.1080/10236669608233912,1996,R. P. Krüger; H. Much; G. Schulz,,"Institut far Angewandte Chemie, Berlin-Adlershof (ACA) e. V., Abteilung Zentrale Analytik, Forschungsgruppe Polymercharakterisierung, Rudower Chaussee 5, D-12484 Berlin, Germany",polyether (ethylene oxide based),ethylene oxide backbone,linear,retention volume independent of molar mass,Nucleosil 5C18,C18,Reversed Phase,,250 x 4mm i. d.,"water, acetonitrile",54 vol% : 46 vol%,vol%,,False,,,30,,ELSD,explicit,explicit,missed,The mobile phase at critical conditions consisted of a mixture of water/acetonitrile (54 vol%:46 vol%),polyethers,Macherey Nagel Nucleosil 5C18 column,water/acetonitrile,54 vol%:46 vol%,All LACCC columns were thermostated at 30°C,,,"Used for the first dimension of 2D-HPLC for polyethers. Text also mentions a critical point of 43 vol% acetonitrile / 57 vol% water in the Results section for EO, but the Experimental section specifies 54/46 for the analysis setup."
[107] Krüger1996.pdf,10.1080/10236669608233912,1996,R. P. Krüger; H. Much; G. Schulz,,"Institut far Angewandte Chemie, Berlin-Adlershof (ACA) e. V., Abteilung Zentrale Analytik, Forschungsgruppe Polymercharakterisierung, Rudower Chaussee 5, D-12484 Berlin, Germany",polyether,polyether,linear,independent of molar mass,Macherey Nagel Nucleosil 5C18,C18,Reversed Phase,,250 x 4mm i. d.,"water, acetonitrile",54 vol%:46 vol%,vol%,,False,,,30,,ELSD detector,explicit,missed,explicit,the retention volume is independent of molar mass,polyether,Macherey Nagel Nucleosil 5C18 column,water/acetonitrile,54 vol%:46 vol%,30°C,,,"Used for the first dimension of 2D-HPLC for polyethers. Text also mentions a critical point of 43 vol% acetonitrile / 57 vol% water in the Results section for EO, but the Experimental section specifies 54/46 for the analysis setup."
[111] Gorshkov1990.pdf,,1990,A.V. Gorshkov; H. Much; H. Becker; H. Pasch; V.V. Evreinov; S.G. Entelis,,"Institute of Chemical Physics, U.S.S.R. Academy of Sciences, Kosygina 4, 117977 Moscow (U.S.S.R.)",PEO,PEO,linear,critical conditions for PEO,Chrompak RP-18,C18,Reversed Phase,,,"water, acetonitrile",58:42,v/v,,False,,,,1 ml/min,refractometric detection,explicit,explicit,explicit,"These conditions are optimum for the separation of PEO according to the types of terminal groups (Fig. 3). As was to be expected, for the reversed phase the retention of macromolecules with the aliphatic end RO is stronger than that with a double bond.",PEO,RP-18,water-acetonitrile,42:58,,,1 ml/min,Used for separation of PEO by functionality types and for analyzing PPO blocks in copolymers where PEO is at critical condition.
[111] Gorshkov1990.pdf,,1990,A.V. Gorshkov; H. Much; H. Becker; H. Pasch; V.V. Evreinov; S.G. Entelis,,"Institute of Chemical Physics, U.S.S.R. Academy of Sciences, Kosygina 4, 117977 Moscow (U.S.S.R.)",PEO-PPO block copolymer,PEO block,block copolymer,critical conditions for PEO,Chrompak RP-18,C18,Reversed Phase,,,"water, acetonitrile",58:42,v/v,,False,,,,1 ml/min,refractometric detection,explicit,explicit,explicit,"These conditions are optimum for the separation of PEO according to the types of terminal groups (Fig. 3). As was to be expected, for the reversed phase the retention of macromolecules with the aliphatic end RO is stronger than that with a double bond.",PEO,RP-18,water-acetonitrile,42:58,,,1 ml/min,Conditions established for PEO used to analyze PPO block size in copolymers (PEO blocks are 'invisible').
[111] Gorshkov1990.pdf,,1990,A.V. Gorshkov; H. Much; H. Becker; H. Pasch; V.V. Evreinov; S.G. Entelis,,"Institute of Chemical Physics, U.S.S.R. Academy of Sciences, Kosygina 4, 117977 Moscow (U.S.S.R.); Academy of Sciences of the G.D.R., Central Institute of Organic Chemistry, Division of Macromolecular Chemistry, Rudower Chaussee 5, 1199 Berlin (G.D.R.)",PEO-PPO-PEO,PEO,linear,disappearance of the retention volume versus macromolecule size dependence,RP-18,C18,Reversed Phase,,,"water, acetonitrile",42:58,v/v,,False,,,,1 ml/min,refractometric,explicit,missed,explicit,"These conditions are optimum for the separation of PEO according to the types of terminal groups (Fig. 3). As was to be expected, for the reversed phase the retention of macromolecules with the aliphatic end RO is stronger than that with a double bond.",PEO,RP-18,water-acetonitrile,42:58,,,1 ml/min,
[111] Gorshkov1990.pdf,,1990,A.V. Gorshkov; H. Much; H. Becker; H. Pasch; V.V. Evreinov; S.G. Entelis,,"Institute of Chemical Physics, U.S.S.R. Academy of Sciences, Kosygina 4, 117977 Moscow (U.S.S.R.); Academy of Sciences of the G.D.R., Central Institute of Organic Chemistry, Division of Macromolecular Chemistry, Rudower Chaussee 5, 1199 Berlin (G.D.R.)",PEO-PPO-PEO,PPO,linear,disappearance of the retention volume versus macromolecule size dependence,RP-18,C18,Reversed Phase,,,"water, tetrahydrofuran",,,,False,,,,,,explicit,missed,explicit,"Under these conditions the unmodified sites of the reversed phase, containing-SiOH groups, become significant. Because of the extremely strong interaction of PEO with these sites, the chromatograms, even for the PEO homopolymer, are strongly distorted by elongated tails.",PPO,RP-18,water-tetrahydrofuran,,,,,
[112] Pasch1995.pdf,,1995,Harald Pasch; Karsten Rode,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 64289 Darmstadt, Germany",H(EO)x(PO)y(EO)xOH,polyethylene oxide,triblock copolymer,liquid chromatography at the critical point of adsorption,Nucleosil-100 RP-18,C18,Reversed Phase,,250 x 4 mm I.D.,"acetonitrile, water",42:58,v/v,,False,,,25,1 ml/min,Waters R-401 differential refractometer,explicit,explicit,explicit,liquid chromatography at the critical point of adsorption,the ethylene oxide block behaves chromatographically 'invisible' and retention of the block copolymer is solely directed by the propylene oxide block,Nucleosil-100 RP-18,acetonitrile—water,"70:30, v/v",25°C in all experiments,,1 ml/min,"Separation of triblock copolymer with respect to propylene oxide block length. The text states 'Operating at the critical point of PEG, the ethylene oxide block behaves chromatographically invisible'."
[112] Pasch1995.pdf,,1995,Harald Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 64289 Darmstadt, Germany",polyethylene oxide,ethylene oxide block,linear,liquid chromatography at the critical point of adsorption,Nucleosil-100 RP-18,C18,Reversed Phase,,125 x 4 mm I.D.,"acetonitrile, water",70:30,v/v,,False,,,25,0.5 ml/min,Waters R-401 differential refractometer,explicit,explicit,missed,liquid chromatography at the critical point of adsorption,ethylene oxide block,Nucleosil-100 RP-18,acetonitrile water,"70:30, v/v",25°C,,0.5 ml/min,"Used for separation of fatty alcohol ethoxylates (FAE) and PEG fractions. The text states 'Operating at the critical point of PEG, the ethylene oxide block behaves chromatographically invisible'."
[113] Pasch.pdf,,1994,H. Pasch; I. Zammert,,"Deutsches Kunststoff-Institut Schlo8BgartenstraBe 6 64289 Darmstadt, Germany",C10-PEO,PEO backbone,linear,liquid chromatography at the critical point of adsorption,Nucleosil RP-18,RP-18,Reversed Phase,,60x4mm I.D.,"acetonitrile, water",46:54,% by volume,,False,,,25,,differential refractometer R401; u.v./vis filter photometer,explicit,explicit,missed,"At a solvent composition of acetonitrile-water 46:54% by volume, the retention time does not change with molar mass, and at this ""critical point of adsorption"" separation is accomplished exclusively with respect to functionality regardless of the molar mass.",critical point of adsorption of PEO,Nucleosil RP-18,acetonitrile-water,acetonitrile-water 46:54% by volume,keeping the temperature for all experiments at 25°C,,,Critical condition established for PEO backbone; used to analyze C10-terminated PEO.
[113] Pasch.pdf,,1994,H. Pasch; I. Zammert,,"Deutsches Kunststoff-Institut Schlo8BgartenstraBe 6 64289 Darmstadt, Germany",C12-PEO,PEO backbone,linear,liquid chromatography at the critical point of adsorption,Nucleosil RP-18,RP-18,Reversed Phase,,60x4mm I.D.,"acetonitrile, water",46:54,% by volume,,False,,,25,,differential refractometer R401; u.v./vis filter photometer,explicit,explicit,missed,"At a solvent composition of acetonitrile-water 46:54% by volume, the retention time does not change with molar mass, and at this ""critical point of adsorption"" separation is accomplished exclusively with respect to functionality regardless of the molar mass.",critical point of adsorption of PEO,Nucleosil RP-18,acetonitrile-water,acetonitrile-water 46:54% by volume,keeping the temperature for all experiments at 25°C,,,Critical condition established for PEO backbone; used to analyze C12-terminated PEO.
